unemployment,dollar,yuan,inflation,oil,key_rate,year
8.9,29.41,3.548,1.09,21.73,25.0,2001
8.9,29.41,3.548,1.09,21.73,25.0,2001
8.9,29.41,3.548,1.09,21.68,25.0,2001
8.9,29.41,3.548,1.09,21.7,25.0,2001
8.9,29.41,3.548,1.09,20.99,25.0,2001
8.9,29.41,3.548,1.09,20.62,25.0,2001
8.9,29.41,3.548,1.09,21.35,25.0,2001
8.9,29.41,3.548,1.09,21.35,25.0,2001
8.9,29.41,3.548,1.09,21.35,25.0,2001
8.9,29.41,3.548,1.09,21.05,25.0,2001
8.9,29.41,3.548,1.09,20.94,25.0,2001
8.9,29.41,3.548,1.09,21.26,25.0,2001
8.9,29.41,3.548,1.09,21.01,25.0,2001
8.9,29.41,3.548,1.09,21.02,25.0,2001
8.9,29.41,3.548,1.09,21.02,25.0,2001
8.9,29.41,3.548,1.09,21.02,25.0,2001
8.9,29.41,3.548,1.09,21.1,25.0,2001
8.9,29.41,3.548,1.09,20.91,25.0,2001
8.9,29.41,3.548,1.09,20.37,25.0,2001
8.9,29.68,3.588,1.36,19.62,25.0,2001
8.9,29.68,3.588,1.36,19.77,25.0,2001
8.9,29.68,3.588,1.36,19.77,25.0,2001
8.9,29.68,3.588,1.36,19.77,25.0,2001
8.9,29.68,3.588,1.36,19.44,25.0,2001
8.9,29.68,3.588,1.36,19.07,25.0,2001
8.9,29.68,3.588,1.36,19.33,25.0,2001
8.9,29.68,3.588,1.36,20.28,25.0,2001
8.9,29.68,3.588,1.36,21.38,25.0,2001
8.9,29.68,3.588,1.36,21.38,25.0,2001
8.9,29.68,3.588,1.36,21.38,25.0,2001
8.9,29.68,3.588,1.36,20.39,25.0,2001
8.9,29.68,3.588,1.36,20.81,25.0,2001
8.9,29.68,3.588,1.36,18.75,25.0,2001
8.9,29.68,3.588,1.36,17.68,25.0,2001
8.9,29.68,3.588,1.36,17.75,25.0,2001
8.9,29.68,3.588,1.36,17.75,25.0,2001
8.9,29.68,3.588,1.36,17.75,25.0,2001
8.9,29.68,3.588,1.36,18.01,25.0,2001
8.9,29.68,3.588,1.36,18.75,25.0,2001
8.9,29.68,3.588,1.36,18.73,25.0,2001
8.9,29.68,3.588,1.36,19.9,25.0,2001
8.9,29.68,3.588,1.36,19.28,25.0,2001
8.9,29.68,3.588,1.36,19.28,25.0,2001
8.9,29.68,3.588,1.36,19.28,25.0,2001
8.9,29.68,3.588,1.36,18.36,25.0,2001
8.9,29.68,3.588,1.36,19.02,25.0,2001
8.9,29.68,3.588,1.36,18.69,25.0,2001
8.9,29.68,3.588,1.36,18.41,25.0,2001
8.9,29.68,3.588,1.36,19.14,25.0,2001
8.9,29.9,3.612,1.6,19.14,25.0,2001
8.9,29.9,3.612,1.6,19.14,25.0,2001
8.9,29.9,3.612,1.6,19.71,25.0,2001
8.9,29.9,3.612,1.6,19.29,25.0,2001
8.9,29.9,3.612,1.6,19.22,25.0,2001
8.9,29.9,3.612,1.6,18.39,25.0,2001
8.9,29.9,3.612,1.6,19.03,25.0,2001
8.9,29.9,3.612,1.6,19.03,25.0,2001
8.9,29.9,3.612,1.6,19.03,25.0,2001
8.9,29.9,3.612,1.6,18.17,25.0,2001
8.9,29.9,3.612,1.6,17.91,25.0,2001
8.9,29.9,3.612,1.6,18.2,25.0,2001
8.9,29.9,3.612,1.6,17.8,25.0,2001
8.9,29.9,3.612,1.6,18.38,25.0,2001
8.9,29.9,3.612,1.6,18.38,25.0,2001
8.9,29.9,3.612,1.6,18.38,25.0,2001
8.9,29.9,3.612,1.6,19.06,25.0,2001
8.9,29.9,3.612,1.6,19.18,25.0,2001
8.9,29.9,3.612,1.6,19.47,25.0,2001
8.9,29.9,3.612,1.6,19.13,25.0,2001
8.9,29.9,3.612,1.6,19.36,25.0,2001
8.9,29.9,3.612,1.6,19.36,25.0,2001
8.9,29.9,3.612,1.6,19.36,25.0,2001
8.9,29.9,3.612,1.6,19.34,25.0,2001
8.9,29.9,3.612,1.6,18.49,25.0,2001
8.9,29.9,3.612,1.6,18.49,25.0,2001
8.9,29.9,3.612,1.6,20.34,25.0,2001
8.9,29.9,3.612,1.6,20.3,25.0,2001
8.9,29.9,3.612,1.6,20.3,25.0,2001
8.9,29.9,3.612,1.6,20.3,25.0,2001
8.9,29.9,3.612,1.6,19.9,25.0,2001
8.0,30.1372,3.64117,3.09,19.76,25.0,2002
8.0,30.1372,3.64117,3.09,21.0,25.0,2002
8.0,30.1372,3.64117,3.09,20.66,25.0,2002
8.0,30.1372,3.64117,3.09,22.18,25.0,2002
8.0,30.1372,3.64117,3.09,22.18,25.0,2002
8.0,30.1372,3.64117,3.09,22.18,25.0,2002
8.0,30.1372,3.64117,3.09,22.03,25.0,2002
8.0,30.1372,3.64117,3.09,22.02,25.0,2002
8.0,30.1372,3.64117,3.09,20.89,25.0,2002
8.0,30.1372,3.64117,3.09,21.29,25.0,2002
8.0,30.1372,3.64117,3.09,20.86,25.0,2002
8.0,30.1372,3.64117,3.09,20.86,25.0,2002
8.0,30.1372,3.64117,3.09,20.86,25.0,2002
8.0,30.1372,3.64117,3.09,19.78,25.0,2002
8.0,30.1372,3.64117,3.09,19.7,25.0,2002
8.0,30.1372,3.64117,3.09,19.36,25.0,2002
8.0,30.1372,3.64117,3.09,18.41,25.0,2002
8.0,30.1372,3.64117,3.09,18.45,25.0,2002
8.0,30.1372,3.64117,3.09,18.45,25.0,2002
8.0,30.1372,3.64117,3.09,18.45,25.0,2002
8.0,30.1372,3.64117,3.09,18.57,25.0,2002
8.0,30.1372,3.64117,3.09,18.75,25.0,2002
8.0,30.1372,3.64117,3.09,19.19,25.0,2002
8.0,30.1372,3.64117,3.09,19.13,25.0,2002
8.0,30.1372,3.64117,3.09,19.37,25.0,2002
8.0,30.1372,3.64117,3.09,19.37,25.0,2002
8.0,30.1372,3.64117,3.09,19.37,25.0,2002
8.0,30.1372,3.64117,3.09,19.65,25.0,2002
8.0,30.1372,3.64117,3.09,19.24,25.0,2002
8.0,30.1372,3.64117,3.09,18.79,25.0,2002
8.0,30.1372,3.64117,3.09,19.18,25.0,2002
8.0,30.6797,3.70744,1.16,19.98,25.0,2002
8.0,30.6797,3.70744,1.16,19.98,25.0,2002
8.0,30.6797,3.70744,1.16,19.98,25.0,2002
8.0,30.6797,3.70744,1.16,19.81,25.0,2002
8.0,30.6797,3.70744,1.16,19.56,25.0,2002
