data,dollar,yuan
2023-04-19,816028.0,11.8482
2023-04-18,816279.0,11.852
2023-04-15,815045.0,11.8803
2023-04-14,816758.0,11.8566
2023-04-13,820934.0,11.9142
2023-04-12,821799.0,11.9248
2023-04-11,817441.0,11.8746
2023-04-08,823988.0,11.9582
2023-04-07,806713.0,11.7039
2023-04-06,794961.0,11.5445
2023-04-05,793563.0,11.5308
2023-04-04,779510.0,11.3028
2023-04-01,773233.0,11.2411
2023-03-31,770863.0,11.1847
2023-03-30,769781.0,11.1622
2023-03-29,765939.0,11.1127
2023-03-28,765662.0,11.1098
2023-03-25,764479.0,11.1146
2023-03-24,763072.0,11.1662
2023-03-23,769561.0,11.1547
2023-03-22,768373.0,11.1652
2023-03-21,772422.0,11.2057
2023-03-18,766044.0,11.1226
2023-03-17,764095.0,11.0485
2023-03-16,757457.0,10.9704
2023-03-15,751927.0,10.9296
2023-03-14,754609.0,10.9313
2023-03-11,759406.0,10.8995
2023-03-10,759028.0,10.8623
2023-03-08,754577.0,10.8672
2023-03-07,754728.0,10.8754
2023-03-04,754592.0,10.9137
2023-03-03,754729.0,10.9089
2023-03-02,752513.0,10.9077
2023-03-01,748932.0,10.7467
2023-02-28,754323.0,10.7928
2023-02-23,747087.0,10.8398
2023-02-22,748596.0,10.8562
2023-02-21,740432.0,10.7797
2023-02-18,747588.0,10.8409
2023-02-17,747638.0,10.8855
2023-02-16,742077.0,10.8473
2023-02-15,738645.0,10.8227
2023-02-14,736307.0,10.7717
2023-02-11,727923.0,10.6916
2023-02-10,728949.0,10.7524
2023-02-09,715763.0,10.5391
2023-02-08,708924.0,10.4331
2023-02-07,705991.0,10.3815
2023-02-04,703847.0,10.4217
2023-02-03,700414.0,10.4037
2023-02-02,701217.0,10.3905
2023-02-01,705174.0,10.4259
2023-01-31,695927.0,10.3077
2023-01-28,693372.0,10.2525
2023-01-27,691263.0,10.2491
2023-01-26,689573.0,10.1479
2023-01-25,687529.0,10.111
2023-01-24,686288.0,10.1125
2023-01-21,686656.0,10.1227
2023-01-20,688467.0,10.132
2023-01-19,688728.0,10.1751
2023-01-18,686644.0,10.1146
2023-01-17,682892.0,10.1368
2023-01-14,675744.0,10.0307
2023-01-13,677775.0,10.0016
2023-01-12,690202.0,10.1396
2023-01-11,696094.0,10.22
2023-01-10,703002.0,10.2867
2022-12-31,703375.0,9.89492
2022-12-30,719778.0,10.1306
2022-12-29,713261.0,10.1469
2022-12-28,699346.0,9.94575
2022-12-27,684487.0,9.73334
2022-12-24,686760.0,9.75884
2022-12-23,721306.0,10.26
2022-12-22,705256.0,10.0836
2022-12-21,690037.0,9.87901
2022-12-20,663474.0,9.49964
2022-12-17,646078.0,9.24382
2022-12-16,643015.0,9.20786
2022-12-15,633590.0,9.10864
2022-12-14,632120.0,9.03731
2022-12-13,627674.0,8.984359999999999
2022-12-10,623813.0,8.96236
2022-12-09,625722.0,8.97431
2022-12-08,629372.0,8.99043
2022-12-07,629103.0,8.96835
2022-12-06,621849.0,8.93117
2022-12-03,617749.0,8.78395
2022-12-02,611479.0,8.63709
2022-12-01,608803.0,8.53746
2022-11-30,610742.0,8.48798
2022-11-29,607520.0,8.412560000000001
2022-11-26,604797.0,8.424479999999999
2022-11-25,603866.0,8.437999999999999
2022-11-24,605043.0,8.43616
2022-11-23,606566.0,8.47222
2022-11-22,607379.0,8.475570000000001
2022-11-19,603741.0,8.472010000000001
2022-11-18,603894.0,8.44679
2022-11-17,603484.0,8.50026
2022-11-16,603116.0,8.53691
2022-11-15,603982.0,8.542480000000001
2022-11-12,602179.0,8.44637
2022-11-11,612434.0,8.40456
2022-11-10,610611.0,8.39724
2022-11-09,609774.0,8.36997
2022-11-08,612367.0,8.43154
2022-11-04,620955.0,8.43037
2022-11-03,616175.0,8.42847
2022-11-02,614275.0,8.40548
2022-11-01,616229.0,8.39469
2022-10-29,615343.0,8.43159
2022-10-28,613589.0,8.43967
2022-10-27,614277.0,8.478449999999999
2022-10-26,613326.0,8.324160000000001
2022-10-25,611629.0,8.32169
2022-10-22,611958.0,8.3732
2022-10-21,615018.0,8.45185
2022-10-20,615905.0,8.45711
2022-10-19,617032.0,8.50975
2022-10-18,617634.0,8.52304
2022-10-15,630558.0,8.69152
2022-10-14,634917.0,8.70486
2022-10-13,637559.0,8.669799999999999
2022-10-12,636840.0,8.752410000000001
2022-10-11,623126.0,8.61548
2022-10-08,612475.0,8.59359
2022-10-07,602534.0,8.590779999999999
2022-10-06,594043.0,8.3637
2022-10-05,587913.0,8.1823
2022-10-04,575664.0,8.13315
2022-10-01,552987.0,8.15532
2022-09-30,574130.0,7.98495
2022-09-29,584485.0,8.072
2022-09-28,581756.0,8.10556
2022-09-27,579990.0,8.09047
2022-09-24,581006.0,8.15329
2022-09-23,598318.0,8.43825
2022-09-22,608685.0,8.602419999999999
2022-09-21,600158.0,8.54169
2022-09-20,601662.0,8.55472
2022-09-17,600316.0,8.54611
2022-09-16,596663.0,8.54232
2022-09-15,597751.0,8.56771
2022-09-14,600676.0,8.66164
2022-09-13,604568.0,8.725249999999999
2022-09-10,604696.0,8.73512
2022-09-09,608010.0,8.73741
2022-09-08,611814.0,8.756499999999999
2022-09-07,608544.0,8.747060000000001
2022-09-06,609033.0,8.784180000000001
2022-09-03,603713.0,8.743649999999999
2022-09-02,602370.0,8.72835
2022-09-01,602386.0,8.72611
2022-08-31,603677.0,8.738299999999999
2022-08-30,603636.0,8.72167
2022-08-27,600924.0,8.74478
2022-08-26,597699.0,8.71936
2022-08-25,599974.0,8.73526
2022-08-24,598963.0,8.71738
2022-08-23,597419.0,8.71277
2022-08-20,591321.0,8.6583
2022-08-19,599570.0,8.8274
2022-08-18,607552.0,8.950990000000001
2022-08-17,614247.0,9.01556
2022-08-16,613747.0,9.04515
2022-08-13,608993.0,9.03978
2022-08-12,606229.0,9.00583
2022-08-11,604542.0,8.95251
2022-08-10,603814.0,8.95342
2022-08-09,603164.0,8.9613
2022-08-06,603696.0,8.96876
2022-08-05,602580.0,8.933620000000001
2022-08-04,602374.0,8.94465
2022-08-03,601595.0,8.95175
2022-08-02,620506.0,9.28229
2022-07-30,613101.0,9.21636
2022-07-29,602031.0,9.04549
